"nGroupT","nGroupC","ef","rho","propC","sampleSize","iteration","coef","boot_pval"
6,2,0,0.3,0.3,6,27,0.468187142556654,0.143333333333333
6,2,0.3,0.3,0.3,6,27,-0.577796628593987,0.0666666666666667
6,2,0,0.3,0.3,8,27,0.4073940430213,0.103333333333333
6,2,0.3,0.3,0.3,8,27,-0.343009682811605,0.223333333333333
6,2,0,0.3,0.3,10,27,-0.398089109579697,0.09
6,2,0.3,0.3,0.3,10,27,-0.0545605647658606,0.81
6,2,0,0.3,0.3,12,27,0.332979008910575,0.1
6,2,0.3,0.3,0.3,12,27,-0.474657485995159,0.0133333333333333
6,2,0,0.3,0.3,14,27,0.188481674272315,0.326666666666667
6,2,0.3,0.3,0.3,14,27,-0.0224630394832137,0.913333333333333
6,2,0,0.3,0.3,16,27,-0.281524939596804,0.103333333333333
6,2,0.3,0.3,0.3,16,27,-0.463709274283374,0.0233333333333333
6,2,0,0.3,0.3,6,28,0.209406746208191,0.553333333333333
6,2,0.3,0.3,0.3,6,28,-0.619111834141008,0.0733333333333333
6,2,0,0.3,0.3,8,28,-0.189855550079076,0.446666666666667
6,2,0.3,0.3,0.3,8,28,-0.31632010112023,0.256666666666667
6,2,0,0.3,0.3,10,28,-0.0900206985521007,0.693333333333333
6,2,0.3,0.3,0.3,10,28,-0.533236646025392,0.0366666666666667
6,2,0,0.3,0.3,12,28,0.113201696357055,0.596666666666667
6,2,0.3,0.3,0.3,12,28,-0.086436797469347,0.713333333333333
6,2,0,0.3,0.3,14,28,-0.296550959061398,0.15
6,2,0.3,0.3,0.3,14,28,-0.478614415111765,0.0233333333333333
6,2,0,0.3,0.3,16,28,-0.098216357814782,0.636666666666667
6,2,0.3,0.3,0.3,16,28,-0.174653267402433,0.346666666666667
6,2,0,0.3,0.3,6,29,-0.301912117324523,0.32
6,2,0.3,0.3,0.3,6,29,-0.792470653676857,0.01
6,2,0,0.3,0.3,8,29,0.307662113219198,0.263333333333333
6,2,0.3,0.3,0.3,8,29,0.0458162997453782,0.87
6,2,0,0.3,0.3,10,29,-0.0183985733003716,0.956666666666667
6,2,0.3,0.3,0.3,10,29,-0.535937000387826,0.03
6,2,0,0.3,0.3,12,29,0.186939388706477,0.29
6,2,0.3,0.3,0.3,12,29,-0.459566200391496,0.0533333333333333
6,2,0,0.3,0.3,14,29,-0.248702440240091,0.233333333333333
6,2,0.3,0.3,0.3,14,29,-0.38316832562752,0.05
6,2,0,0.3,0.3,16,29,0.0935009111065521,0.61
6,2,0.3,0.3,0.3,16,29,-0.529509882005022,0.00666666666666667
6,2,0,0.3,0.3,6,30,-0.111553463080294,0.726666666666667
6,2,0.3,0.3,0.3,6,30,-0.387559099689314,0.183333333333333
6,2,0,0.3,0.3,8,30,-0.222505488436545,0.376666666666667
6,2,0.3,0.3,0.3,8,30,-0.812578575725737,0.00666666666666667
6,2,0,0.3,0.3,10,30,0.194929230827188,0.466666666666667
6,2,0.3,0.3,0.3,10,30,0.0144367705090586,0.94
6,2,0,0.3,0.3,12,30,0.0572286770118375,0.813333333333333
6,2,0.3,0.3,0.3,12,30,-0.377761934686806,0.0966666666666667
6,2,0,0.3,0.3,14,30,-0.0230044378646159,0.89
6,2,0.3,0.3,0.3,14,30,-0.0479333063114802,0.8
6,2,0,0.3,0.3,16,30,0.219842689271218,0.273333333333333
6,2,0.3,0.3,0.3,16,30,-0.377436946803443,0.03
6,2,0,0.3,0.3,6,31,0.261738472402035,0.39
6,2,0.3,0.3,0.3,6,31,0.108071598720682,0.73
6,2,0,0.3,0.3,8,31,0.0418528377550783,0.876666666666667
6,2,0.3,0.3,0.3,8,31,-0.158132193870127,0.546666666666667
6,2,0,0.3,0.3,10,31,0.290853578152594,0.22
6,2,0.3,0.3,0.3,10,31,-0.417959654411543,0.09
6,2,0,0.3,0.3,12,31,0.00012674749544214,1
6,2,0.3,0.3,0.3,12,31,-0.330689612214582,0.126666666666667
6,2,0,0.3,0.3,14,31,-0.0767489605488511,0.71
6,2,0.3,0.3,0.3,14,31,-0.394840918975279,0.0366666666666667
6,2,0,0.3,0.3,16,31,0.00928743707359526,0.966666666666667
6,2,0.3,0.3,0.3,16,31,-0.0946688529892439,0.59
6,2,0,0.3,0.3,6,32,-0.31251582437009,0.336666666666667
6,2,0.3,0.3,0.3,6,32,-0.122722397441819,0.723333333333333
6,2,0,0.3,0.3,8,32,0.155100795276807,0.496666666666667
6,2,0.3,0.3,0.3,8,32,0.279234026904235,0.283333333333333
6,2,0,0.3,0.3,10,32,0.156563724583549,0.456666666666667
6,2,0.3,0.3,0.3,10,32,-0.271073310459577,0.256666666666667
6,2,0,0.3,0.3,12,32,-0.185501294547397,0.376666666666667
6,2,0.3,0.3,0.3,12,32,-0.131880378498708,0.56
6,2,0,0.3,0.3,14,32,0.257506133085978,0.183333333333333
6,2,0.3,0.3,0.3,14,32,-0.271719413327696,0.206666666666667
6,2,0,0.3,0.3,16,32,0.529664723066926,0.00333333333333333
6,2,0.3,0.3,0.3,16,32,0.024856266259774,0.85
6,2,0,0.3,0.3,6,33,-0.407456254268749,0.186666666666667
6,2,0.3,0.3,0.3,6,33,-0.0493774074163941,0.893333333333333
6,2,0,0.3,0.3,8,33,-0.376483359706107,0.15
6,2,0.3,0.3,0.3,8,33,-0.0533154290845344,0.836666666666667
6,2,0,0.3,0.3,10,33,0.282832754550208,0.24
6,2,0.3,0.3,0.3,10,33,-0.362305729202523,0.13
6,2,0,0.3,0.3,12,33,0.321764305619369,0.13
6,2,0.3,0.3,0.3,12,33,-0.163036629391758,0.456666666666667
6,2,0,0.3,0.3,14,33,0.321874542577586,0.11
6,2,0.3,0.3,0.3,14,33,0.00112557919942984,0.996666666666667
6,2,0,0.3,0.3,16,33,0.103793305078565,0.57
6,2,0.3,0.3,0.3,16,33,-0.588783936255119,0.00333333333333333
6,2,0,0.3,0.3,6,34,-0.70737816468285,0.0233333333333333
