"nGroupT","nGroupC","sdC","iteration","meanC","ef","rho","sampleSize","idSD","coef","boot_pval"
6,2,0.2,50,10,0,0.3,6,3,0.228887830178763,0.632
6,2,0.2,3,10,0,0.3,6,3,0.308878036240458,0.634
6,2,0.2,387,10,0,0.3,6,3,-0.868874097777223,0.634
6,2,0.2,416,10,0,0.3,6,3,-0.338642190747152,0.634
6,2,0.2,111,10,0,0.3,6,3,0.359360879424116,0.638
6,2,0.2,407,10,0,0.3,6,3,0.501413913493337,0.64
6,2,0.2,70,10,0,0.3,6,3,-0.515247964631897,0.644
6,2,0.2,447,10,0,0.3,6,3,0.336164308126996,0.644
6,2,0.2,91,10,0,0.3,6,3,-0.48088935260958,0.648
6,2,0.2,100,10,0,0.3,6,3,0.305867521637055,0.648
6,2,0.2,360,10,0,0.3,6,3,-0.5995997160569,0.648
6,2,0.2,85,10,0,0.3,6,3,0.308714871312986,0.65
6,2,0.2,67,10,0,0.3,6,3,-0.109994080081179,0.652
6,2,0.2,127,10,0,0.3,6,3,-0.359993686917306,0.652
6,2,0.2,488,10,0,0.3,6,3,-0.322427198966011,0.652
6,2,0.2,26,10,0,0.3,6,3,-0.685173708616759,0.654
6,2,0.2,198,10,0,0.3,6,3,0.367148619418032,0.654
6,2,0.2,238,10,0,0.3,6,3,1.02055791524975,0.656
6,2,0.2,391,10,0,0.3,6,3,-0.508809825488157,0.656
6,2,0.2,69,10,0,0.3,6,3,-0.51953046421346,0.658
6,2,0.2,287,10,0,0.3,6,3,0.306464435618125,0.66
6,2,0.2,289,10,0,0.3,6,3,-0.681497103077504,0.66
6,2,0.2,490,10,0,0.3,6,3,-0.296958283355735,0.66
6,2,0.2,494,10,0,0.3,6,3,-0.698028731933874,0.662
6,2,0.2,314,10,0,0.3,6,3,-0.673560105188415,0.664
6,2,0.2,332,10,0,0.3,6,3,-0.238017473983518,0.664
6,2,0.2,192,10,0,0.3,6,3,0.667739133108199,0.67
6,2,0.2,454,10,0,0.3,6,3,0.422813369347381,0.67
6,2,0.2,12,10,0,0.3,6,3,0.449457720769942,0.676
6,2,0.2,82,10,0,0.3,6,3,0.093501468404213,0.676
6,2,0.2,104,10,0,0.3,6,3,-0.109691439460988,0.676
6,2,0.2,199,10,0,0.3,6,3,0.41852242293217,0.676
6,2,0.2,306,10,0,0.3,6,3,-0.349908296196219,0.676
6,2,0.2,114,10,0,0.3,6,3,0.889826080513103,0.68
6,2,0.2,171,10,0,0.3,6,3,-0.717558114846668,0.68
6,2,0.2,245,10,0,0.3,6,3,-0.521689753298801,0.682
6,2,0.2,225,10,0,0.3,6,3,-0.31288442481906,0.684
6,2,0.2,32,10,0,0.3,6,3,0.41828765822271,0.686
6,2,0.2,237,10,0,0.3,6,3,0.692665647833707,0.686
6,2,0.2,341,10,0,0.3,6,3,0.162266413179594,0.686
6,2,0.2,280,10,0,0.3,6,3,-0.435283758466142,0.688
6,2,0.2,376,10,0,0.3,6,3,0.574918897126338,0.688
6,2,0.2,386,10,0,0.3,6,3,0.412372389870114,0.688
6,2,0.2,24,10,0,0.3,6,3,-0.228763539536686,0.69
6,2,0.2,110,10,0,0.3,6,3,-0.0994431908729325,0.69
6,2,0.2,128,10,0,0.3,6,3,-0.165639131589245,0.69
6,2,0.2,275,10,0,0.3,6,3,-0.340121551096018,0.69
6,2,0.2,71,10,0,0.3,6,3,-0.270040898669521,0.692
6,2,0.2,412,10,0,0.3,6,3,-0.530997611197165,0.692
6,2,0.2,291,10,0,0.3,6,3,0.471688680538364,0.696
6,2,0.2,213,10,0,0.3,6,3,0.374965549492714,0.698
6,2,0.2,464,10,0,0.3,6,3,0.231407835775684,0.698
6,2,0.2,195,10,0,0.3,6,3,0.354421188149558,0.7
6,2,0.2,269,10,0,0.3,6,3,0.276792333278649,0.7
6,2,0.2,134,10,0,0.3,6,3,-0.488108691052815,0.706
6,2,0.2,284,10,0,0.3,6,3,0.294784005351687,0.706
6,2,0.2,396,10,0,0.3,6,3,-0.270610898392505,0.706
6,2,0.2,342,10,0,0.3,6,3,0.200998085692731,0.708
6,2,0.2,487,10,0,0.3,6,3,-0.39231752780762,0.708
6,2,0.2,118,10,0,0.3,6,3,0.51912597705325,0.71
6,2,0.2,149,10,0,0.3,6,3,0.340568935390223,0.712
6,2,0.2,331,10,0,0.3,6,3,0.183946260308943,0.72
6,2,0.2,188,10,0,0.3,6,3,0.352802993512313,0.722
6,2,0.2,323,10,0,0.3,6,3,-0.457862124283139,0.726
6,2,0.2,463,10,0,0.3,6,3,0.368999201917092,0.726
6,2,0.2,117,10,0,0.3,6,3,-0.436308602703519,0.728
6,2,0.2,299,10,0,0.3,6,3,0.370435214959087,0.73
6,2,0.2,365,10,0,0.3,6,3,0.232818418286683,0.73
6,2,0.2,491,10,0,0.3,6,3,-0.207511889790169,0.73
